id_choque,tipo_choque,data_choque,hora_choque,latitude_choque,longitude_choque,velocidade_choque,posicao_choque,trecho_choque,forca_maxima_choque,ACT_choque,PEG_choque,id_vagao,id_viagem,tipo_engate
7325,0,16/10/2022,18:43:51,-21.90222475,-48.07672282,12.96,230.80805,T2,137.3273223,23.53794114,91.15167588,473,5,F
7326,0,16/10/2022,18:43:52,-21.90225238,-48.07669851,12.96,230.8,T2,140.9725139,23.11919709,91.16161752,473,5,F
7327,0,16/10/2022,18:43:53,-21.90227738,-48.07667622,12.96,230.8,T2,137.6747736,23.33158166,91.12185096,473,5,F
7328,0,16/10/2022,18:43:54,-21.90228538,-48.07666886,12.96,230.8,T2,137.0591142,22.71099695,91.11474978,473,5,F
7329,0,16/10/2022,18:43:54,-21.90229188,-48.07666288,12.96,230.8,T2,136.2605856,22.2063953,91.11190932,473,5,F
7330,0,16/10/2022,18:43:54,-21.902294,-48.07666092,12.96,230.8,T2,136.4434547,22.19585139,91.09628674,473,5,F
7331,0,16/10/2022,18:43:54,-21.90230088,-48.0766546,12.96,230.7976,T2,139.4120305,22.19585139,91.09628674,473,5,F
7332,0,16/10/2022,18:43:55,-21.90231088,-48.0766454,12.96,230.7936,T2,136.4861242,22.58597624,91.10480814,473,5,F
7333,0,16/10/2022,18:43:58,-21.90238963,-48.07657316,12.96,230.78,T2,136.0899077,21.91116568,91.14741518,473,5,F
7334,0,16/10/2022,18:43:59,-21.90242463,-48.07654075,12.96,230.7781,T2,141.5637908,24.58480128,91.10338791,473,5,F
7335,0,16/10/2022,18:44:00,-21.90243738,-48.07652902,12.96,230.773,T2,137.4736176,22.2862278,91.12753189,473,5,F
7336,0,16/10/2022,18:44:03,-21.90251838,-48.0764535,12.96,230.7606,T2,136.2240117,21.30865625,91.13889377,473,5,F
7337,0,16/10/2022,18:44:03,-21.90252663,-48.07644564,13.0554,230.76,T2,139.5400389,22.03317384,91.12185096,473,5,F
7338,0,16/10/2022,18:44:04,-21.902535,-48.0764376,13.176,230.76,T2,137.8759297,23.28639345,91.12043072,473,5,F
7339,0,16/10/2022,18:44:04,-21.90254638,-48.07642674,13.3002,230.76,T2,136.7482366,24.51400642,91.10480814,473,5,F
7340,0,16/10/2022,18:44:05,-21.9025655,-48.07640914,13.0248,230.76,T2,141.74666,24.45375548,91.09770697,473,5,F
7341,0,16/10/2022,18:44:07,-21.90262175,-48.0763534,12.96,230.74845,T2,138.4489197,21.00589526,91.1815008,473,5,F
7342,0,16/10/2022,18:44:07,-21.90262813,-48.07634728,12.96,230.7459,T2,136.2910637,21.80120771,91.17155916,473,5,F
7343,0,16/10/2022,18:44:11,-21.90270603,-48.07627097,13.32,230.73385,T2,138.7171278,23.95216638,91.11617002,473,5,F
